episode,seed,n_obstacles,steps,windows,completed_high_total,success,avg_reward_episode,uav0_dist,uav1_dist,uav2_dist,uav3_dist,mean_uav_dist,coll_uav_uav,coll_uav_obs,coll_uav_other_task,total_collisions,collision_rate,uav0_finish,uav1_finish,uav2_finish,uav3_finish,mean_finish_step
0,2023,1,16,1,4,1.0,12.508832931518555,1.1233443021774292,0.9452782273292542,0.5586456060409546,1.2673801183700562,0.9736621379852295,0,0,0,0,0.0,15,12,9,16,13.0
1,2024,1,12,1,4,1.0,13.918655395507812,0.2586226165294647,0.7059300541877747,0.32412388920783997,0.9004854559898376,0.5472905039787292,0,0,0,0,0.0,3,12,4,11,7.5
2,2025,1,33,1,4,1.0,7.674324035644531,0.7791334390640259,1.942511796951294,2.472151041030884,0.2334066927433014,1.3568006753921509,0,0,0,0,0.0,10,24,33,3,17.5
3,2026,1,13,1,4,1.0,13.714855194091797,0.8520076274871826,0.45447924733161926,0.7253367304801941,0.9625409245491028,0.7485911250114441,0,0,0,0,0.0,10,6,10,13,9.75
4,2027,1,22,1,4,1.0,6.941023826599121,1.6311582326889038,0.8433681726455688,1.3031628131866455,0.22203180193901062,0.9999302625656128,0,0,4,4,0.18181818181818182,22,11,17,3,13.25
5,2028,1,29,1,4,1.0,9.264028549194336,1.101271390914917,2.0920703411102295,1.8133186101913452,0.43826279044151306,1.3612308502197266,0,0,0,0,0.0,13,29,23,6,17.75
6,2029,1,17,1,4,1.0,11.565078735351562,1.0027692317962646,1.2864587306976318,1.2949769496917725,1.3828256130218506,1.2417576313018799,0,0,0,0,0.0,13,16,16,17,15.5
7,2030,1,15,1,4,1.0,13.267213821411133,1.2220087051391602,1.1969178915023804,0.46123141050338745,0.38931751251220703,0.8173689246177673,0,0,0,0,0.0,15,15,6,6,10.5
8,2031,1,16,1,4,1.0,12.657071113586426,1.119262456893921,0.6177213191986084,1.2528064250946045,0.9726071357727051,0.9905993342399597,0,0,0,0,0.0,15,8,16,13,13.0
9,2032,1,22,1,4,1.0,9.890264511108398,0.3429296016693115,0.9471546411514282,1.6219152212142944,1.6232144832611084,1.1338034868240356,0,1,0,1,0.045454545454545456,4,13,22,20,14.75
10,2033,1,17,1,4,1.0,13.565377235412598,1.3637218475341797,0.4950307607650757,0.4986882507801056,0.07155182212591171,0.6072481870651245,0,0,0,0,0.0,17,7,7,1,8.0
11,2034,1,16,1,4,1.0,12.769289016723633,0.7792324423789978,1.170188546180725,0.5098932385444641,1.043365478515625,0.8756698966026306,0,0,0,0,0.0,10,16,12,13,12.75
12,2035,1,28,1,4,1.0,11.574844360351562,0.5191905498504639,2.330552816390991,0.08660244196653366,0.19630075991153717,0.7831616401672363,0,0,0,0,0.0,6,28,1,3,9.5
13,2036,1,20,1,4,1.0,12.45498275756836,1.436123251914978,0.8028961420059204,0.5960552096366882,0.7963084578514099,0.9078457951545715,0,0,0,0,0.0,20,10,7,10,11.75
14,2037,1,25,1,4,1.0,11.58105754852295,0.4961463510990143,0.4314373731613159,2.099677085876465,0.05739250034093857,0.7711633443832397,0,0,0,0,0.0,7,7,25,1,10.0
15,2038,1,9,1,4,1.0,14.365041732788086,0.5046221613883972,0.5265424251556396,0.5109928250312805,0.7374119162559509,0.5698923468589783,0,0,0,0,0.0,8,7,7,9,7.75
16,2039,1,24,1,4,1.0,9.791213989257812,0.9074642062187195,1.2184041738510132,1.6641281843185425,0.15807659924030304,0.9870182871818542,0,1,0,1,0.041666666666666664,12,17,24,2,13.75
17,2040,1,29,1,4,1.0,7.9501543045043945,0.2905174195766449,1.854416012763977,2.223937749862671,1.4338806867599487,1.4506880044937134,0,0,0,0,0.0,4,24,29,17,18.5
18,2041,1,37,1,4,1.0,9.512475967407227,0.4027610421180725,0.5708538889884949,0.25980135798454285,2.4639198780059814,0.9243340492248535,0,0,0,0,0.0,5,9,3,37,13.5
19,2042,1,11,1,4,1.0,13.760271072387695,0.4804074466228485,0.8262705206871033,0.5230347514152527,0.8803577423095703,0.6775175929069519,0,0,0,0,0.0,8,11,7,11,9.25
0,2023,2,16,1,4,1.0,12.504935264587402,1.1045706272125244,1.0125339031219482,0.7321078181266785,1.2712434530258179,1.030113935470581,0,0,0,0,0.0,15,12,10,16,13.25
1,2024,2,19,1,4,1.0,13.380783081054688,0.25851744413375854,1.4545609951019287,0.3259725272655487,0.8942614197731018,0.733328104019165,0,0,0,0,0.0,3,19,4,11,9.25
2,2025,2,13,1,4,1.0,13.709503173828125,0.7956758141517639,0.560541033744812,1.0245949029922485,0.24324440956115723,0.6560140252113342,0,0,0,0,0.0,10,8,13,3,8.5
3,2026,2,15,1,4,1.0,11.765442848205566,1.0277656316757202,0.5798897743225098,0.9321790933609009,0.9704184532165527,0.8775632381439209,0,1,0,1,0.06666666666666667,15,9,11,13,12.0
4,2027,2,13,1,4,1.0,13.826910972595215,0.07013274729251862,0.7790404558181763,1.070999026298523,0.7148464918136597,0.6587547063827515,0,0,0,0,0.0,1,9,13,10,8.25
5,2028,2,29,1,4,1.0,6.862798690795898,1.0975533723831177,2.1134862899780273,1.5230467319488525,1.9294778108596802,1.6658909320831299,0,1,0,1,0.034482758620689655,13,29,20,24,21.5
6,2029,2,23,1,4,1.0,9.371191024780273,0.5774912238121033,0.3214845657348633,1.8790017366409302,1.3812499046325684,1.039806842803955,0,2,0,2,0.08695652173913043,7,4,23,17,12.75
7,2030,2,15,1,4,1.0,14.063896179199219,1.1741887331008911,0.3347384035587311,0.46445244550704956,0.3887638449668884,0.5905358791351318,0,0,0,0,0.0,15,4,6,6,7.75
8,2031,2,15,1,4,1.0,12.72708797454834,1.2563021183013916,0.5064956545829773,1.1159484386444092,1.0001499652862549,0.9697240591049194,0,0,0,0,0.0,15,6,15,13,12.25
9,2032,2,17,1,4,1.0,12.899723052978516,1.2730891704559326,0.45125865936279297,1.1210882663726807,0.49015146493911743,0.8338968753814697,0,0,0,0,0.0,17,6,13,6,10.5
10,2033,2,17,1,4,1.0,13.265606880187988,1.2599990367889404,1.3652080297470093,0.5265357494354248,0.07130229473114014,0.8057612180709839,0,0,0,0,0.0,16,17,7,1,10.25
11,2034,2,30,1,4,1.0,10.64663314819336,0.8759797215461731,1.9136496782302856,0.6392428874969482,1.0286924839019775,1.1143912076950073,0,0,0,0,0.0,11,30,13,13,16.75
12,2035,2,23,1,4,1.0,9.598159790039062,0.5192670226097107,1.8194026947021484,0.08660244196653366,1.0851305723190308,0.8776006698608398,0,2,0,2,0.08695652173913043,6,23,1,14,11.0
13,2036,2,15,1,4,1.0,13.486705780029297,1.1644636392593384,1.1579036712646484,0.5715197324752808,0.3441595435142517,0.809511661529541,0,0,0,0,0.0,14,15,7,4,10.0
14,2037,2,20,1,4,1.0,12.69430923461914,0.5871261358261108,0.22383950650691986,0.9345757365226746,1.457855224609375,0.8008491396903992,0,0,0,0,0.0,8,3,11,20,10.5
15,2038,2,16,1,4,1.0,13.52139663696289,1.2235167026519775,0.8248829245567322,0.506661057472229,0.5185753703117371,0.7684090733528137,0,0,0,0,0.0,16,11,7,6,10.0
16,2039,2,29,1,4,1.0,9.397275924682617,1.027856707572937,0.9018315672874451,2.138725757598877,0.15594658255577087,1.0560901165008545,0,1,0,1,0.034482758620689655,13,12,29,2,14.0
17,2040,2,21,1,4,1.0,8.060845375061035,1.6955602169036865,0.6893577575683594,1.7740460634231567,0.8902928829193115,1.2623143196105957,0,2,0,2,0.09523809523809523,20,8,21,12,15.25
18,2041,2,25,1,4,1.0,11.005449295043945,0.41512492299079895,0.5831249356269836,2.1220216751098633,1.2021141052246094,1.0805964469909668,0,0,0,0,0.0,5,9,25,15,13.5
19,2042,2,19,1,4,1.0,12.812788009643555,0.8196202516555786,0.8941348195075989,0.23223048448562622,1.51002836227417,0.8640034794807434,0,0,0,0,0.0,10,12,3,19,11.0
0,2023,3,18,1,4,1.0,9.653440475463867,1.1200876235961914,0.9456053376197815,0.755674421787262,1.4884063005447388,1.0774433612823486,0,0,2,2,0.1111111111111111,15,12,10,18,13.75
1,2024,3,30,1,4,1.0,11.370680809020996,0.6526487469673157,2.1669907569885254,0.48845380544662476,0.47959959506988525,0.9469232559204102,0,0,0,0,0.0,8,30,6,6,12.5
2,2025,3,23,1,4,1.0,9.77254867553711,0.5881055593490601,0.22655925154685974,1.5049742460250854,1.7428988218307495,1.015634536743164,0,1,0,1,0.043478260869565216,7,3,19,23,13.0
3,2026,3,24,1,4,1.0,6.775949954986572,0.07125435769557953,1.0039604902267456,1.6707615852355957,0.4413260221481323,0.796825647354126,0,4,0,4,0.16666666666666666,1,14,24,8,11.75
4,2027,3,10,1,4,1.0,14.331568717956543,0.0847024917602539,0.7793684005737305,0.3219631314277649,0.715609610080719,0.4754108786582947,0,0,0,0,0.0,1,9,4,10,6.0
5,2028,3,33,1,4,1.0,6.765376091003418,0.30645403265953064,2.352343797683716,1.2603610754013062,1.8613026142120361,1.445115327835083,0,0,0,0,0.0,4,33,17,29,20.75
6,2029,3,23,1,4,1.0,7.0582075119018555,0.24002575874328613,1.5888252258300781,1.8656710386276245,1.5280635356903076,1.3056464195251465,0,2,0,2,0.08695652173913043,3,22,23,20,17.0
7,2030,3,26,1,4,1.0,10.402875900268555,1.961711049079895,1.2257251739501953,0.27562081813812256,1.3664631843566895,1.2073800563812256,0,0,0,0,0.0,26,16,4,18,16.0
8,2031,3,15,1,4,1.0,10.289949417114258,0.4009036719799042,1.1989095211029053,1.1392256021499634,0.9146307706832886,0.9134174585342407,0,2,0,2,0.13333333333333333,5,14,15,11,11.25
9,2032,3,16,1,4,1.0,12.8134765625,1.3086501359939575,0.5294352769851685,1.1247628927230835,0.8255108594894409,0.9470897912979126,0,0,0,0,0.0,16,8,13,11,12.0
10,2033,3,28,1,4,1.0,10.792195320129395,2.2550361156463623,1.3364650011062622,0.3299400806427002,0.07130229473114014,0.9981858730316162,0,0,0,0,0.0,28,16,4,1,12.25
11,2034,3,33,1,4,1.0,1.7521471977233887,2.3623454570770264,2.03771710395813,0.520179033279419,1.0087971687316895,1.4822596311569214,0,4,0,4,0.12121212121212122,33,30,12,13,22.0
12,2035,3,27,1,4,1.0,6.275348663330078,1.9273444414138794,0.7537427544593811,0.7531153559684753,1.1092617511749268,1.1358661651611328,0,4,0,4,0.14814814814814814,27,10,9,14,15.0
13,2036,3,21,1,4,1.0,12.402974128723145,1.1602962017059326,0.7745166420936584,1.6839542388916016,0.34367913007736206,0.9906115531921387,0,0,0,0,0.0,14,9,21,4,12.0
14,2037,3,24,1,4,1.0,-0.5076003074645996,0.5918809175491333,1.9207526445388794,0.4160172939300537,1.8829312324523926,1.2028955221176147,0,9,0,9,0.375,8,24,5,24,15.25
15,2038,3,19,1,4,1.0,13.072734832763672,1.616981863975525,0.5264374017715454,0.6777921319007874,0.7296197414398193,0.8877077698707581,0,0,0,0,0.0,19,7,8,10,11.0
16,2039,3,29,1,4,1.0,7.031737327575684,0.940974235534668,0.7034155130386353,2.1128482818603516,0.15653224289417267,0.9784425497055054,0,3,0,3,0.10344827586206896,12,10,29,2,13.25
17,2040,3,31,1,4,1.0,0.8066461086273193,1.7454115152359009,0.24675875902175903,0.7766916155815125,2.3386402130126953,1.2768754959106445,0,7,0,7,0.22580645161290322,22,3,10,31,16.5
18,2041,3,25,1,4,1.0,10.152698516845703,0.6209070682525635,1.0948492288589478,2.1107685565948486,1.4186800718307495,1.3113012313842773,0,0,0,0,0.0,9,13,25,20,16.75
19,2042,3,26,1,4,1.0,11.645715713500977,2.0061521530151367,0.8306286931037903,0.2346392571926117,0.5571448802947998,0.9071412086486816,0,0,0,0,0.0,26,12,3,8,12.25
0,2023,4,24,1,4,1.0,12.347249031066895,0.22664488852024078,0.5195363759994507,0.7324827313423157,1.9667598009109497,0.8613559007644653,0,0,0,0,0.0,3,6,10,24,10.75
1,2024,4,19,1,4,1.0,12.688447952270508,1.1516971588134766,1.4620778560638428,0.4759346842765808,0.7562564611434937,0.961491584777832,0,0,0,0,0.0,15,19,6,9,12.25
2,2025,4,16,1,4,1.0,9.871665000915527,0.541831910610199,0.2317182421684265,0.5886111259460449,1.161043643951416,0.6308012008666992,0,3,0,3,0.1875,7,3,7,16,8.25
3,2026,4,24,1,4,1.0,9.061142921447754,0.07341473549604416,1.1159002780914307,1.736075758934021,0.44021421670913696,0.841401219367981,0,2,0,2,0.08333333333333333,1,15,24,8,12.0
4,2027,4,24,1,4,1.0,-7.281737327575684,0.06877127289772034,1.5367521047592163,0.31949758529663086,1.7063363790512085,0.907839298248291,0,15,0,15,0.625,1,20,4,24,12.25
5,2028,4,32,1,4,1.0,6.908707618713379,0.775428295135498,2.4748737812042236,1.2956775426864624,1.356400489807129,1.4755949974060059,0,1,0,1,0.03125,10,32,17,21,20.0
6,2029,4,27,1,4,1.0,3.6583662033081055,0.23990021646022797,0.9659457206726074,2.0719687938690186,1.5796347856521606,1.214362382888794,0,5,0,5,0.18518518518518517,3,14,27,20,16.0
7,2030,4,26,1,4,1.0,11.448747634887695,1.963423252105713,1.2163662910461426,0.2742968499660492,0.5605008006095886,1.003646731376648,0,0,0,0,0.0,26,16,4,7,13.25
8,2031,4,11,1,4,1.0,14.197025299072266,0.40104082226753235,0.43228673934936523,0.8940211534500122,0.2300892174243927,0.48935946822166443,0,0,0,0,0.0,5,5,11,4,6.25
9,2032,4,16,1,4,1.0,13.237441062927246,1.265628695487976,0.5286613702774048,0.3756623864173889,0.8369399309158325,0.751723051071167,0,0,0,0,0.0,16,8,6,11,10.25
10,2033,4,30,1,4,1.0,-0.2531924247741699,2.4102444648742676,1.4408345222473145,0.1575251966714859,1.934454321861267,1.4857646226882935,0,7,0,7,0.23333333333333334,30,17,2,23,18.0
11,2034,4,20,1,4,1.0,0.7214593887329102,1.5206665992736816,0.8642321228981018,1.2112481594085693,0.923331618309021,1.1298695802688599,0,9,0,9,0.45,20,11,14,11,14.0
