episode,avg_reward,episode_length,high_priority_success,uav0_dist,uav1_dist,uav2_dist,uav3_dist,coll_uav_uav,coll_uav_obs,coll_uav_other_task,uav0_finish,uav1_finish,uav2_finish,uav3_finish
0,-195.39120483398438,300,0.25,18.839487075805664,19.15927505493164,17.981721878051758,17.430883407592773,0,0,30,-1,-1,-1,300
1,-317.2861328125,300,0.25,9.030295372009277,11.596626281738281,10.910600662231445,0.3548288941383362,0,22,99,-1,-1,-1,300
2,-172.29254150390625,300,0.0,9.35471248626709,7.556904315948486,9.022191047668457,6.192878723144531,10,17,0,-1,-1,-1,-1
3,-309.18035888671875,300,0.0,7.121242523193359,7.2322516441345215,6.049845218658447,6.6669158935546875,0,18,0,-1,-1,-1,-1
4,-649.552978515625,300,0.25,6.575742244720459,7.304781436920166,6.8761467933654785,5.941529273986816,0,15,285,-1,-1,-1,300
5,-73.010009765625,300,0.5,0.07690106332302094,7.618825912475586,8.629131317138672,6.2056989669799805,0,0,0,300,-1,300,-1
6,-274.5897521972656,300,0.0,6.960240364074707,7.214731216430664,6.529085636138916,7.5221638679504395,184,12,0,-1,-1,-1,-1
7,-290.8502197265625,300,0.25,6.3038859367370605,12.179061889648438,6.159516334533691,9.814630508422852,68,14,6,-1,-1,300,-1
8,-237.79473876953125,300,0.5,6.130914211273193,15.710829734802246,6.902822494506836,2.7223920822143555,203,17,9,-1,300,-1,300
9,-306.95574951171875,300,0.0,7.058676242828369,12.844504356384277,11.771294593811035,6.3536248207092285,132,25,4,-1,-1,-1,-1
10,-265.2485046386719,300,0.0,8.289928436279297,12.342599868774414,12.609012603759766,12.027264595031738,148,34,0,-1,-1,-1,-1
11,-677.6467895507812,300,0.0,9.269705772399902,10.329313278198242,13.093391418457031,12.795613288879395,14,304,0,-1,-1,-1,-1
12,-416.45111083984375,300,0.0,8.22335433959961,6.854364395141602,12.766151428222656,11.875383377075195,55,7,86,-1,-1,-1,-1
13,-224.83189392089844,300,0.0,8.64764404296875,10.467836380004883,13.192033767700195,5.896761894226074,131,0,7,-1,-1,-1,-1
14,-339.131103515625,300,0.0,11.591317176818848,8.463292121887207,13.007877349853516,7.5907301902771,161,3,4,-1,-1,-1,-1
15,-295.8792724609375,300,0.0,14.662077903747559,7.307117462158203,12.50531005859375,9.066250801086426,173,1,4,-1,-1,-1,-1
16,-283.33477783203125,300,0.0,13.741168022155762,8.218825340270996,14.031274795532227,8.441020011901855,169,25,1,-1,-1,-1,-1
17,-258.27606201171875,300,0.25,2.235020160675049,8.755340576171875,13.765875816345215,7.198095798492432,157,23,0,300,-1,-1,-1
18,-139.9403076171875,300,0.5,0.5393909811973572,1.3297953605651855,9.196980476379395,7.994243621826172,123,13,0,300,300,-1,-1
19,-230.39944458007812,300,0.0,8.710129737854004,10.965761184692383,12.24476432800293,7.116947650909424,95,0,0,-1,-1,-1,-1
20,-277.6136169433594,300,0.0,10.227540969848633,13.55130386352539,13.361282348632812,7.508780002593994,48,11,4,-1,-1,-1,-1
21,-263.8741760253906,300,0.25,13.316413879394531,7.442169189453125,12.28984260559082,7.842536449432373,184,18,3,300,-1,-1,-1
