episode,avg_reward,episode_length,high_priority_success,num_windows,completed_high_total,obstacle_collisions,building_collisions,uav_uav_collisions,total_collisions,terminated_by_collision,mean_steps_to_complete,n_obstacles,inspection_z_fraction,completion_xy_radius,completion_z_tol,uav_sep,uav_sep_penalty,obstacle_collision_penalty,building_collision_penalty,uav_collision_penalty,terminate_on_collision
0,-260.2279052734375,300,0.25,2,2,9,12,1,22,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
1,-382.27337646484375,300,0.0,2,0,5,16,0,21,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
2,-331.07049560546875,300,0.0,2,0,0,0,6,6,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
3,-388.1161804199219,300,0.0,2,0,0,0,8,8,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
4,-232.7689208984375,300,0.0,2,0,1,4,0,5,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
5,-283.0882568359375,300,0.0,2,0,3,0,2,5,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
6,-252.52377319335938,300,0.0,2,0,0,0,0,0,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
7,-181.02978515625,300,0.25,2,2,2,1,0,3,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
8,-285.9952087402344,300,0.0,2,0,1,0,1,2,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
9,-181.43179321289062,300,0.25,2,2,0,0,0,0,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
10,-233.7978515625,300,0.0,2,0,0,0,0,0,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
11,-177.0849609375,300,0.125,2,1,3,1,0,4,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
12,-289.5315856933594,300,0.0,2,0,0,25,0,25,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
13,-171.18804931640625,300,0.0,2,0,1,0,0,1,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
14,-145.7479248046875,300,0.25,2,2,0,0,2,2,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
15,-273.54742431640625,300,0.0,2,0,0,1,11,12,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
16,-200.95799255371094,300,0.25,2,2,7,1,2,10,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
17,-423.2436218261719,300,0.0,2,0,19,21,10,50,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
18,-232.18356323242188,300,0.0,2,0,8,1,3,12,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
19,-167.3111114501953,300,0.25,2,2,0,10,1,11,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
20,-192.25938415527344,300,0.125,2,1,3,0,0,3,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
21,-282.1728210449219,300,0.0,2,0,9,1,0,10,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
22,-319.8498840332031,300,0.0,2,0,24,1,0,25,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
23,-287.251220703125,300,0.0,2,0,3,2,0,5,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
24,-240.898681640625,300,0.0,2,0,1,0,0,1,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
25,-246.91278076171875,300,0.0,2,0,0,2,0,2,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
26,-225.33624267578125,300,0.0,2,0,0,0,0,0,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
27,-299.0209045410156,300,0.0,2,0,0,0,0,0,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
28,-222.22421264648438,300,0.0,2,0,0,0,0,0,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
29,-259.5835266113281,300,0.0,2,0,1,0,0,1,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
30,-318.4999694824219,300,0.0,2,0,1,4,0,5,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
31,-269.01849365234375,300,0.0,2,0,1,1,1,3,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
