episode,avg_reward,episode_length,high_priority_success,num_windows,completed_high_total,obstacle_collisions,building_collisions,uav_uav_collisions,total_collisions,terminated_by_collision,mean_steps_to_complete,n_obstacles,inspection_z_fraction,completion_xy_radius,completion_z_tol,uav_sep,uav_sep_penalty,obstacle_collision_penalty,building_collision_penalty,uav_collision_penalty,terminate_on_collision
0,-253.33433532714844,300,0.0,2,0,13,5,1,19,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
1,-485.79229736328125,300,0.0,2,0,1,36,10,47,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
2,-258.21575927734375,300,0.0,2,0,0,0,0,0,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
3,-295.5155944824219,300,0.0,2,0,4,3,2,9,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
4,-254.9815673828125,300,0.0,2,0,0,0,0,0,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
5,-348.2302551269531,300,0.0,2,0,1,1,1,3,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
6,-366.52783203125,300,0.0,2,0,0,0,3,3,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
7,-325.77374267578125,300,0.0,2,0,0,0,1,1,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
8,-337.0164489746094,300,0.0,2,0,0,2,2,4,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
9,-344.1322021484375,300,0.0,2,0,1,0,1,2,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
10,-331.97808837890625,300,0.0,2,0,0,2,1,3,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
11,-298.24713134765625,300,0.25,2,2,0,1,1,2,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
12,-345.43035888671875,300,0.0,2,0,1,0,2,3,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
13,-369.2240295410156,300,0.0,2,0,0,3,1,4,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
14,-343.51068115234375,300,0.0,2,0,1,0,1,2,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
